name,mean_auc,sem_auc,subNo,auc,xvalIterReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sweep ,sameTrs,trainTr3
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s01,0.53474,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s03,0.58212,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s04,0.53389,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s05,0.54807,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s06,0.41325,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s07,0.51392,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s08,0.50985,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s09,0.43593,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s10,0.56963,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
conds_exHitVexCr_trTe1_1_2_2_1_1_2_2_trWtr0__0__1__0__0__0_te0__0__0__0__1__0_roirleftMtlMask_tbm112514.mat,0.51715,0.011435,s12,0.56269,2,exHit;exCr,1;1;2;2;1;1;2;2,rleftMtlMask_tbm112514.nii,10,0,,0;0;1;0;0;0,0;0;0;0;1;0,TRUE,FALSE,TRUE
