correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,runsVec,subs
0,0.66989,0.33011,2,0.33011,0.66989,-0.33979,1,-0.16989,1,0.7077,-0.7077,1,1
0,0.59002,0.40998,2,0.40998,0.59002,-0.18004,1,-0.090021,1,0.36405,-0.36405,1,1
0,0.57536,0.42464,2,0.42464,0.57536,-0.15071,1,-0.075356,1,0.30374,-0.30374,1,1
0,0.6783,0.3217,2,0.3217,0.6783,-0.35661,1,-0.1783,1,0.74599,-0.74599,1,1
0,0.62127,0.37873,2,0.37873,0.62127,-0.24254,1,-0.12127,1,0.49495,-0.49495,1,1
0,0.70259,0.29741,2,0.29741,0.70259,-0.40517,1,-0.20259,1,0.85964,-0.85964,1,1
1,0.44338,0.55662,2,0.55662,0.44338,0.11324,2,0.05662,1,-0.22745,0.22745,1,1
1,0.48097,0.51903,2,0.51903,0.48097,0.038055,2,0.019027,1,-0.076147,0.076147,1,1
0,0.57265,0.42735,2,0.42735,0.57265,-0.14529,1,-0.072647,1,0.29266,-0.29266,1,1
0,0.64133,0.35867,2,0.35867,0.64133,-0.28266,1,-0.14133,1,0.58115,-0.58115,1,1
0,0.6618,0.3382,2,0.3382,0.6618,-0.32359,1,-0.1618,1,0.67131,-0.67131,1,1
0,0.58394,0.41606,2,0.41606,0.58394,-0.16788,1,-0.083942,1,0.33898,-0.33898,1,1
0,0.53334,0.46666,2,0.46666,0.53334,-0.066681,1,-0.03334,1,0.13356,-0.13356,1,1
0,0.63608,0.36392,2,0.36392,0.63608,-0.27217,1,-0.13608,1,0.55841,-0.55841,1,1
0,0.59168,0.40832,2,0.40832,0.59168,-0.18335,1,-0.091677,1,0.3709,-0.3709,1,1
0,0.65292,0.34708,2,0.34708,0.65292,-0.30583,1,-0.15292,1,0.63189,-0.63189,1,1
0,0.4333,0.5667,1,0.4333,0.5667,-0.1334,2,-0.066701,1,-0.26841,-0.26841,1,1
1,0.55072,0.44928,1,0.55072,0.44928,0.10144,1,0.050719,1,0.20358,0.20358,1,1
1,0.5962,0.4038,1,0.5962,0.4038,0.19241,1,0.096203,1,0.38967,0.38967,1,1
1,0.62911,0.37089,1,0.62911,0.37089,0.25823,1,0.12911,1,0.52841,0.52841,1,1
1,0.53121,0.46879,1,0.53121,0.46879,0.062427,1,0.031213,1,0.12502,0.12502,1,1
0,0.49319,0.50681,1,0.49319,0.50681,-0.01362,2,-0.0068101,1,-0.027242,-0.027242,1,1
1,0.6202,0.3798,1,0.6202,0.3798,0.2404,1,0.1202,1,0.49039,0.49039,1,1
1,0.65158,0.34842,1,0.65158,0.34842,0.30315,1,0.15158,1,0.62597,0.62597,1,1
0,0.42353,0.57647,1,0.42353,0.57647,-0.15294,2,-0.076472,1,-0.30831,-0.30831,1,1
0,0.45781,0.54219,1,0.45781,0.54219,-0.084384,2,-0.042192,1,-0.16917,-0.16917,1,1
1,0.61345,0.38655,1,0.61345,0.38655,0.22691,1,0.11345,1,0.46185,0.46185,1,1
1,0.58488,0.41512,1,0.58488,0.41512,0.16976,1,0.08488,1,0.34284,0.34284,1,1
1,0.55718,0.44282,1,0.55718,0.44282,0.11437,1,0.057185,1,0.22974,0.22974,1,1
