correctsVec,actsVec,actsVec2,desiredsVec,actsOfTrueClass,actsOfFalseClass,actsDifference,guessesVec,signedActs,xval_iter,signedEv,unsignedEv,subs
0,0.15186,0.84814,1,0.15186,0.84814,-0.69627,2,-0.34814,1,-1.7201,-1.7201,1
0,0.18407,0.81593,1,0.18407,0.81593,-0.63187,2,-0.31593,1,-1.489,-1.489,1
0,0.19252,0.80748,1,0.19252,0.80748,-0.61497,2,-0.30748,1,-1.4337,-1.4337,1
0,0.097078,0.90292,1,0.097078,0.90292,-0.80584,2,-0.40292,1,-2.2301,-2.2301,1
0,0.075376,0.92462,1,0.075376,0.92462,-0.84925,2,-0.42462,1,-2.5069,-2.5069,1
0,0.13038,0.86962,1,0.13038,0.86962,-0.73924,2,-0.36962,1,-1.8976,-1.8976,1
0,0.052254,0.94775,1,0.052254,0.94775,-0.89549,2,-0.44775,1,-2.898,-2.898,1
0,0.77703,0.22297,2,0.22297,0.77703,-0.55406,1,-0.27703,1,1.2484,-1.2484,1
0,0.64384,0.35616,2,0.35616,0.64384,-0.28769,1,-0.14384,1,0.59209,-0.59209,1
0,0.85987,0.14013,2,0.14013,0.85987,-0.71973,1,-0.35987,1,1.8142,-1.8142,1
0,0.85495,0.14505,2,0.14505,0.85495,-0.7099,1,-0.35495,1,1.774,-1.774,1
0,0.74736,0.25264,2,0.25264,0.74736,-0.49472,1,-0.24736,1,1.0846,-1.0846,1
0,0.84269,0.15731,2,0.15731,0.84269,-0.68539,1,-0.34269,1,1.6784,-1.6784,1
0,0.86063,0.13937,2,0.13937,0.86063,-0.72125,1,-0.36063,1,1.8205,-1.8205,1
0,0.74376,0.25624,2,0.25624,0.74376,-0.48751,1,-0.24376,1,1.0656,-1.0656,1
0,0.76975,0.23025,2,0.23025,0.76975,-0.53951,1,-0.26975,1,1.2069,-1.2069,1
0,0.63453,0.36547,2,0.36547,0.63453,-0.26906,1,-0.13453,1,0.5517,-0.5517,1
0,0.64845,0.35155,2,0.35155,0.64845,-0.29691,1,-0.14845,1,0.61225,-0.61225,1
0,0.555,0.445,2,0.445,0.555,-0.10999,1,-0.054995,1,0.22087,-0.22087,1
0,0.73141,0.26859,2,0.26859,0.73141,-0.46283,1,-0.23141,1,1.0018,-1.0018,1
0,0.70023,0.29977,2,0.29977,0.70023,-0.40045,1,-0.20023,1,0.84838,-0.84838,1
0,0.57218,0.42782,2,0.42782,0.57218,-0.14435,1,-0.072177,1,0.29074,-0.29074,1
