Contrast,shape,cluster,sphere,roi,task,acc,beta
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.785804627
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.040498566
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.251987535
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.126475475
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,hit,0.446392463
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,1.292230489
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.027740515
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.343155951
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.255974534
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.038571295
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,-0.691958458
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.194627337
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.325940779
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.564905209
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.417707021
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.225112978
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,1.019500022
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,-0.158580925
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.34028171
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.772088533
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.065987637
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.511125011
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,1.716155213
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,-0.236694611
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.731755206
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,-0.041927586
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.17066819
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.076328749
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,ex,cr,0.293034969
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.719690956
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.186126594
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.69721993
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.114050556
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.038834059
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.290145974
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.398349641
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.477674201
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.345267271
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.443325809
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.489579944
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,1.073469042
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.191353702
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.160014039
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.131406377
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.446541011
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.26009647
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,1.56110377
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.029344242
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.779515211
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,0.46445921
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.599253835
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.155548462
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,hit,-0.469664799
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,1.060773687
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.394150727
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.682982169
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.368210525
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.342134385
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.138082324
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,-0.208015258
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.810584865
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.274314015
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.898453935
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.763197278
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,1.424625649
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,-0.053544291
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.251215566
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.300441906
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.027258453
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.489413052
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,1.368847067
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.30927304
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.7179267
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,0.611918249
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,-0.328044928
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,-0.073511838
EX>CM Hit>CR,sphere,FALSE,TRUE,Right Hipp,cm,cr,-0.223928084
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,2.839239165
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.860699107
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.129327586
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.174120155
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.182632555
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.374087931
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.814690682
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.277670254
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.832629154
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.2034869
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.248262941
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.17866807
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.285803163
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.302030008
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.470035875
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.61101236
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.070464315
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,1.687188567
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.114600792
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,0.113072442
EX>CM Hit>CR,cluster,TRUE,FALSE,Left Hipp,ex,hit,-0.192108422
