name,mean_auc,sem_auc,subNo,auc,xvalIterReported,runsReported,condNames,which_traintest,roiName,num_results_iter,scramble,trWeights,trWeights_train,trWeights_test,sameTrs
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__0__1__0_te0__0__0__0__1__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.49906,0.0037659,s26,0.48348,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;0;1;0,0;0;0;0;1;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s01,0.49145,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s03,0.50937,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s04,0.50415,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s05,0.49844,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s06,0.51612,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s07,0.51807,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s08,0.52827,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s09,0.50626,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
scrambled_conds_hitVcr_trTe1_1_1_1_2_2_2_2_trWtr0__0__0__1__0__0_te0__0__0__1__0__0_roiSEPT09_MVPA_MASK_resliced4mm.mat,0.50739,0.0032648,s10,0.50221,2,,hit;cr,1;1;1;1;2;2;2;2,SEPT09_MVPA_MASK_resliced4mm.nii,10,1,,0;0;0;1;0;0,0;0;0;1;0;0,TRUE
